Question|Answer
"Как DNS решает проблему того, что браузер не знает адрес сервера при вводе имени сайта?"|"DNS переводит доменное имя (youtube.com) в IP-адрес (142.250.80.78), который браузер использует для подключения к серверу. Это распределённая база данных — «телефонная книга интернета»."
"Почему при глобальном крахе DNS вы не сможете открыть facebook.com, но серверы Facebook будут работать нормально?"|"Серверы работают, но браузер не может узнать их IP-адрес без DNS. Если вы знаете IP напрямую (например, 157.240.22.35), можете ввести его и подключиться."
"В чём разница между подключением 3 компьютеров и 100 компьютеров через прямые Ethernet кабели?"|"3 компьютера требуют 3 кабеля (каждый с каждым). 100 компьютеров требуют ~5000 кабелей (99 кабелей на каждый компьютер), что непрактично. Решение — сетевой свитч: 1 кабель от каждого компьютера к свитчу."
"Как сетевой свитч решает проблему «спагетти из кабелей» в офисе со 100 компьютерами?"|"Свитч — центральное устройство. Каждый компьютер подключается ОДНИМ кабелем к свитчу. Свитч умно маршрутизирует сообщения между компьютерами. 100 компьютеров = 100 кабелей вместо 5000."
"Почему стандартный Ethernet кабель не подходит для передачи данных между городами?"|"Ethernet кабель передаёт сигнал максимум ~100 метров — после этого электрический сигнал слишком слабый. Расстояние между городами 10,000+ метров. Нужны другие технологии (оптоволокно, репитеры)."
"В чём ключевое техническое различие между медными телефонными кабелями и интернет-кабелями?"|"Различия нет в физическом носителе (обе используют медь для электрических сигналов). Различие в паттернах сигналов: телефон передаёт вибрации голоса, интернет передаёт двоичные данные (1 и 0)."
"Почему оптоволокно используется между городами, а Ethernet (медь) — в доме, если скорость передачи ~200,000 км/с у обоих?"|"Скорость почти одинакова. Ключевое различие — дальность без ослабления. Медь: сигнал умирает через ~100 метров. Оптоволокно: 40+ километров. Для больших расстояний оптоволокно эффективнее."
"Как работают репитеры в цепочке оптоволоконных кабелей на расстоянии 1000+ км?"|"Репитеры размещаются каждые 40-80 км. Они: 1) Получают слабый сигнал, 2) Читают данные (1 и 0), 3) Отправляют новый сильный сигнал дальше. Аналогия: эстафетный бег — бегун передаёт эстафету свежему бегуну."
"Откуда подводные репитеры в океане (5000+ км от берега) получают электропитание?"|"От самого кабеля. Кабель выполняет ДВЕ задачи: 1) Передача данных (световые импульсы в оптоволокне), 2) Передача электричества (через медные жилы). Станции на берегу отправляют высоковольтное питание."
"Почему ISP (интернет-провайдеры) берут ежемесячную плату за доступ к интернету?"|"ISP вложили миллиарды долларов в инфраструктуру: подводные кабели, оптоволокно под улицами, свитчи, репитеры, обслуживание. Они владеют «шоссе данных» и берут плату за его использование — как платная дорога."
"Как конкуренция между несколькими ISP решает проблему монополии в телеком-индустрии?"|"Несколько ISP конкурируют за клиентов (лучшие цены, скорость). Они соединяют свои сети друг с другом (доступ ко всему интернету). Государственное регулирование не даёт одной компании захватить весь рынок."
"Проследите полный путь запроса от ввода google.com до отображения страницы в браузере."|"1) Браузер → DNS: 'Где google.com?' 2) DNS → Браузер: IP 142.250.185.46. 3) Браузер → Ethernet → Свитч → ISP кабели. 4) ISP сеть → Оптоволокно → Репитеры каждые 40-80 км. 5) Достигает сервера Google. 6) Сервер отправляет ответ обратно. 7) Данные → Свитч → Компьютер → Браузер отображает страницу."
